TABLE_NAME	COLUMN_NAME	COLUMN_TYPE	IS_NULLABLE	COLUMN_DEFAULT	EXTRA
ai_agent_settings	id	varchar(36)	NO	NULL	
ai_agent_settings	user_id	varchar(36)	NO	NULL	
ai_agent_settings	instance_id	varchar(50)	NO	NULL	
ai_agent_settings	is_active	tinyint(1)	NO	0	
ai_agent_settings	api_key	varchar(255)	YES	NULL	
ai_agent_settings	model	varchar(50)	NO	gemini-2.5-flash	
ai_agent_settings	system_prompt	text	YES	NULL	
ai_agent_settings	created_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED
ai_agent_settings	updated_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
ai_usage_logs	id	bigint	NO	NULL	auto_increment
ai_usage_logs	tenant_id	varchar(36)	NO	NULL	
ai_usage_logs	contact_phone	varchar(50)	YES	NULL	
ai_usage_logs	model	varchar(100)	NO	NULL	
ai_usage_logs	prompt_tokens	int	NO	0	
ai_usage_logs	completion_tokens	int	NO	0	
ai_usage_logs	total_tokens	int	NO	0	
ai_usage_logs	created_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED
audit_logs	id	varchar(36)	NO	NULL	
audit_logs	user_id	varchar(36)	YES	NULL	
audit_logs	tenant_id	varchar(36)	YES	NULL	
audit_logs	action	varchar(255)	NO	NULL	
audit_logs	entity_type	varchar(100)	YES	NULL	
audit_logs	entity_id	varchar(100)	YES	NULL	
audit_logs	actor_email	varchar(255)	YES	NULL	
audit_logs	ip	varchar(50)	YES	NULL	
audit_logs	user_agent	text	YES	NULL	
audit_logs	metadata	json	YES	NULL	
audit_logs	created_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED
audit_logs	details_json	json	YES	NULL	
audit_logs	ip_address	varchar(45)	YES	NULL	
billing_invoices	id	varchar(36)	NO	NULL	
billing_invoices	tenant_id	varchar(36)	NO	NULL	
billing_invoices	customer_id	varchar(36)	NO	NULL	
billing_invoices	subscription_id	varchar(36)	NO	NULL	
billing_invoices	plan_id	varchar(36)	YES	NULL	
billing_invoices	invoice_number	varchar(50)	NO	NULL	
billing_invoices	description	text	YES	NULL	
billing_invoices	amount	decimal(10,2)	NO	NULL	
billing_invoices	currency	varchar(10)	NO	BRL	
billing_invoices	status	enum('draft','pending','paid','failed','expired','cancelled','refunded')	NO	pending	
billing_invoices	due_at	datetime	NO	NULL	
billing_invoices	paid_at	datetime	YES	NULL	
billing_invoices	cancelled_at	datetime	YES	NULL	
billing_invoices	external_reference	varchar(255)	NO	NULL	
billing_invoices	metadata	json	YES	NULL	
billing_invoices	created_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED
billing_invoices	updated_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
billing_invoices	due_date	datetime	YES	NULL	
billing_payments	id	varchar(36)	NO	NULL	
billing_payments	tenant_id	varchar(36)	NO	NULL	
billing_payments	customer_id	varchar(36)	NO	NULL	
billing_payments	subscription_id	varchar(36)	NO	NULL	
billing_payments	invoice_id	varchar(36)	NO	NULL	
billing_payments	provider	varchar(50)	NO	mercadopago	
billing_payments	provider_payment_id	varchar(255)	YES	NULL	
billing_payments	provider_order_id	varchar(255)	YES	NULL	
billing_payments	provider_preference_id	varchar(255)	YES	NULL	
billing_payments	external_reference	varchar(255)	YES	NULL	
billing_payments	payment_method	varchar(50)	YES	NULL	
billing_payments	payment_type	varchar(50)	YES	NULL	
billing_payments	status	varchar(50)	NO	NULL	
billing_payments	status_detail	varchar(255)	YES	NULL	
billing_payments	amount	decimal(10,2)	NO	NULL	
billing_payments	currency	varchar(10)	NO	BRL	
billing_payments	installments	int	NO	1	
billing_payments	payer_email	varchar(255)	YES	NULL	
billing_payments	approved_at	datetime	YES	NULL	
billing_payments	expires_at	datetime	YES	NULL	
billing_payments	raw_response	json	YES	NULL	
billing_payments	environment	enum('sandbox','production')	NO	sandbox	
billing_payments	created_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED
billing_payments	updated_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
billing_payments	qr_code	text	YES	NULL	
billing_payments	qr_code_base64	longtext	YES	NULL	
billing_payments	ticket_url	text	YES	NULL	
billing_payments	payload_json	json	YES	NULL	
billing_plans	id	varchar(36)	NO	NULL	
billing_plans	name	varchar(255)	NO	NULL	
billing_plans	description	text	YES	NULL	
billing_plans	price	decimal(10,2)	NO	NULL	
billing_plans	currency	varchar(10)	NO	BRL	
billing_plans	billing_interval	enum('day','week','month','year')	NO	month	
billing_plans	billing_interval_count	int	NO	1	
billing_plans	duration_days	int	NO	NULL	
billing_plans	features	json	YES	NULL	
billing_plans	is_active	tinyint(1)	NO	1	
billing_plans	created_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED
billing_plans	updated_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
billing_plans	subscription_plan_id	varchar(36)	YES	NULL	
billing_plans	billing_cycle	varchar(20)	NO	monthly	
billing_plans	price_cents	int	NO	0	
billing_plans	trial_days	int	NO	0	
billing_plans	sort_order	int	NO	0	
billing_plans	features_json	json	YES	NULL	
billing_webhook_events	id	varchar(36)	NO	NULL	
billing_webhook_events	provider	varchar(50)	NO	NULL	
billing_webhook_events	environment	enum('sandbox','production')	NO	NULL	
billing_webhook_events	event_id	varchar(255)	NO	NULL	
billing_webhook_events	event_type	varchar(100)	NO	NULL	
billing_webhook_events	resource_id	varchar(255)	YES	NULL	
billing_webhook_events	request_id	varchar(255)	YES	NULL	
billing_webhook_events	tenant_id	varchar(36)	YES	NULL	
billing_webhook_events	invoice_id	varchar(36)	YES	NULL	
billing_webhook_events	payment_id	varchar(36)	YES	NULL	
billing_webhook_events	payload_hash	varchar(64)	YES	NULL	
billing_webhook_events	payload	json	YES	NULL	
billing_webhook_events	status	enum('received','processing','processed','ignored','failed')	NO	received	
billing_webhook_events	attempts	int	NO	0	
billing_webhook_events	error_code	varchar(100)	YES	NULL	
billing_webhook_events	error_message	text	YES	NULL	
billing_webhook_events	provider_created_at	datetime	YES	NULL	
billing_webhook_events	received_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED
billing_webhook_events	processing_started_at	datetime	YES	NULL	
billing_webhook_events	processed_at	datetime	YES	NULL	
billing_webhook_events	created_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED
billing_webhook_events	payload_json	json	NO	NULL	
bot_conversation_state	id	varchar(36)	NO	NULL	
bot_conversation_state	tenant_id	varchar(36)	NO	NULL	
bot_conversation_state	user_id	varchar(36)	NO	NULL	
bot_conversation_state	contact_number	varchar(50)	NO	NULL	
bot_conversation_state	instance_id	varchar(50)	YES	NULL	
bot_conversation_state	current_step_id	varchar(36)	YES	NULL	
bot_conversation_state	last_interaction	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED
bot_conversation_state	is_paused	tinyint(1)	NO	0	
bot_conversation_state	paused_until	datetime	YES	NULL	
bot_conversation_state	bot_active	tinyint(1)	NO	1	
bot_conversation_state	created_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED
bot_conversation_state	updated_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
bot_conversation_state	channel	varchar(50)	NO	whatsapp	
bot_conversation_state	provider_account_id	varchar(255)	YES	NULL	
bot_flows	id	varchar(36)	NO	NULL	
bot_flows	user_id	varchar(36)	NO	NULL	
bot_flows	tenant_id	varchar(36)	NO	NULL	
bot_flows	name	varchar(255)	NO	NULL	
bot_flows	channel	varchar(50)	NO	whatsapp	
bot_flows	is_active	tinyint(1)	NO	0	
bot_flows	triggers_count	int	NO	1	
bot_flows	actions_count	int	NO	1	
bot_flows	last_executed_at	datetime	YES	NULL	
bot_flows	created_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED
bot_flows	updated_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
bot_settings	id	varchar(36)	NO	NULL	
bot_settings	tenant_id	varchar(36)	NO	NULL	
bot_settings	user_id	varchar(36)	NO	NULL	
bot_settings	instance_id	varchar(50)	YES	NULL	
bot_settings	is_active	tinyint(1)	NO	0	
bot_settings	pause_timeout_minutes	int	NO	60	
bot_settings	created_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED
bot_settings	updated_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
bot_settings	name	varchar(150)	YES	NULL	
bot_settings	channel	enum('whatsapp','instagram','messenger')	NO	whatsapp	
bot_settings	priority	int	NO	0	
bot_settings	trigger_type	varchar(50)	NO	start	
bot_settings	trigger_value	varchar(255)	YES	NULL	
bot_settings	is_default	tinyint(1)	NO	0	
bot_step_options	id	varchar(36)	NO	NULL	
bot_step_options	tenant_id	varchar(36)	NO	NULL	
bot_step_options	user_id	varchar(36)	NO	NULL	
bot_step_options	step_id	varchar(36)	NO	NULL	
bot_step_options	option_number	int	NO	NULL	
bot_step_options	label	varchar(50)	NO	NULL	
bot_step_options	description	varchar(255)	YES	NULL	
bot_step_options	next_step_id	varchar(36)	YES	NULL	
bot_step_options	assign_team_id	varchar(36)	YES	NULL	
bot_step_options	assign_user_id	varchar(36)	YES	NULL	
bot_step_options	created_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED
bot_steps	id	varchar(36)	NO	NULL	
bot_steps	tenant_id	varchar(36)	NO	NULL	
bot_steps	user_id	varchar(36)	NO	NULL	
bot_steps	bot_settings_id	varchar(36)	NO	NULL	
bot_steps	step_order	int	NO	1	
bot_steps	trigger_type	varchar(50)	NO	keyword	
bot_steps	trigger_value	text	YES	NULL	
bot_steps	message_type	varchar(50)	NO	text	
bot_steps	message_content	text	YES	NULL	
bot_steps	media_caption	text	YES	NULL	
bot_steps	footer_text	varchar(255)	YES	NULL	
bot_steps	buttons_config	json	YES	NULL	
bot_steps	next_step_id	varchar(36)	YES	NULL	
bot_steps	delay_seconds	int	NO	0	
bot_steps	assign_team_id	varchar(36)	YES	NULL	
bot_steps	assign_user_id	varchar(36)	YES	NULL	
bot_steps	handoff_message	text	YES	NULL	
bot_steps	card_color	varchar(50)	YES	NULL	
bot_steps	created_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED
bot_steps	updated_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
bot_steps	media_url	longtext	YES	NULL	
bot_steps	position_x	float	NO	0	
bot_steps	position_y	float	NO	0	
bot_steps	flow_id	varchar(36)	YES	NULL	
calendar_events	id	varchar(36)	NO	NULL	
calendar_events	tenant_id	varchar(36)	NO	NULL	
calendar_events	user_id	varchar(36)	NO	NULL	
calendar_events	title	varchar(255)	NO	NULL	
calendar_events	description	text	YES	NULL	
calendar_events	event_type	varchar(50)	NO	reuniao	
calendar_events	status	varchar(50)	NO	agendado	
calendar_events	start_at	datetime	NO	NULL	
calendar_events	end_at	datetime	NO	NULL	
calendar_events	all_day	tinyint(1)	NO	0	
calendar_events	timezone	varchar(100)	NO	America/Sao_Paulo	
calendar_events	contact_id	varchar(36)	YES	NULL	
calendar_events	responsible_user_id	varchar(36)	YES	NULL	
calendar_events	team_id	varchar(36)	YES	NULL	
calendar_events	ds_agent_id	varchar(36)	YES	NULL	
calendar_events	location	varchar(500)	YES	NULL	
calendar_events	meeting_url	varchar(1000)	YES	NULL	
calendar_events	color	varchar(30)	YES	#7C3AED	
calendar_events	recurrence_type	varchar(50)	YES	none	
calendar_events	recurrence_rule	text	YES	NULL	
calendar_events	reminder_minutes	int	YES	NULL	
calendar_events	created_by_type	enum('user','ds_agent','system')	NO	user	
calendar_events	created_by_user_id	varchar(36)	YES	NULL	
calendar_events	created_by_agent_id	varchar(36)	YES	NULL	
calendar_events	metadata	json	YES	NULL	
calendar_events	created_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED
calendar_events	updated_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
calendar_events	deleted_at	datetime	YES	NULL	
campaign_logs	id	varchar(36)	NO	NULL	
campaign_logs	campaign_id	varchar(36)	NO	NULL	
campaign_logs	contact_number	varchar(50)	NO	NULL	
campaign_logs	status	enum('sent','delivered','read','failed')	NO	sent	
campaign_logs	error_message	text	YES	NULL	
campaign_logs	created_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED
campaign_messages	id	varchar(36)	NO	NULL	
campaign_messages	tenant_id	varchar(36)	NO	NULL	
campaign_messages	user_id	varchar(36)	NO	NULL	
campaign_messages	campaign_id	varchar(36)	NO	NULL	
campaign_messages	contact_id	varchar(36)	YES	NULL	
campaign_messages	to_phone	varchar(50)	NO	NULL	
campaign_messages	status	enum('pending','sending','sent','delivered','read','failed')	NO	pending	
campaign_messages	wa_message_id	varchar(255)	YES	NULL	
campaign_messages	conversation_id	varchar(255)	YES	NULL	
campaign_messages	conversation_origin	varchar(255)	YES	NULL	
campaign_messages	pricing_billable	tinyint(1)	YES	NULL	
campaign_messages	pricing_category	varchar(50)	YES	NULL	
campaign_messages	pricing_model	varchar(50)	YES	NULL	
campaign_messages	sent_at	datetime	YES	NULL	
campaign_messages	delivered_at	datetime	YES	NULL	
campaign_messages	read_at	datetime	YES	NULL	
campaign_messages	failed_at	datetime	YES	NULL	
campaign_messages	error	json	YES	NULL	
campaign_messages	attempts	int	NO	0	
campaign_messages	created_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED
campaigns	id	varchar(36)	NO	NULL	
campaigns	tenant_id	varchar(36)	NO	NULL	
campaigns	user_id	varchar(36)	NO	NULL	
campaigns	name	varchar(255)	NO	NULL	
campaigns	list_id	varchar(36)	YES	NULL	
campaigns	template_id	varchar(36)	YES	NULL	
campaigns	message_type	enum('template','text','media','interactive')	NO	NULL	
campaigns	status	enum('draft','queued','running','done','failed','cancelled')	NO	draft	
campaigns	payload	json	YES	NULL	
campaigns	totals	json	YES	NULL	
campaigns	scheduled_at	datetime	YES	NULL	
campaigns	started_at	datetime	YES	NULL	
campaigns	finished_at	datetime	YES	NULL	
campaigns	created_at	datetime	NO	CURRENT_TIMESTAMP	DEFAULT_GENERATED
